time_s,modulator_m,alpha,phi_rad,stride_half_m,o1,o2,body_x_m,support_legs,LF_contact,LF_lift_m,RM_contact,RM_lift_m,LH_contact,LH_lift_m,RF_contact,RF_lift_m,LM_contact,LM_lift_m,RH_contact,RH_lift_m
15.850000000000001,1.0,1.1,0.4,0.065,0.5286218311261464,0.2627961393081729,1.8621254593763588,3,0,0.007883884179245187,0,0.007883884179245187,0,0.007883884179245187,1,0.0,1,0.0,1,0.0
15.9,1.0,1.1,0.4,0.065,0.5704256999282615,0.03979483298688639,1.8648427108484966,3,0,0.0011938449896065917,0,0.0011938449896065917,0,0.0011938449896065917,1,0.0,1,0.0,1,0.0
15.950000000000001,1.0,1.1,0.4,0.065,0.5334700167385132,-0.20124410959130434,1.8648427108484966,3,1,0.0,1,0.0,1,0.0,0,0.00603732328773913,0,0.00603732328773913,0,0.00603732328773913
16.0,1.0,1.1,0.4,0.065,0.42541842786454415,-0.4073344292803962,1.8718660641253047,3,1,0.0,1,0.0,1,0.0,0,0.012220032878411885,0,0.012220032878411885,0,0.012220032878411885
16.05,1.0,1.1,0.4,0.065,0.2510509163255444,-0.5334321580019101,1.8831999523753398,3,1,0.0,1,0.0,1,0.0,0,0.0160029647400573,0,0.0160029647400573,0,0.0160029647400573
16.1,1.0,1.1,0.4,0.065,0.02584967387411051,-0.5703194244992631,1.897838033134683,3,1,0.0,1,0.0,1,0.0,0,0.017109582734977893,0,0.017109582734977893,0,0.017109582734977893
16.150000000000002,1.0,1.1,0.4,0.065,-0.21471792354871017,-0.5291053428551992,1.9134749269671663,3,1,0.0,1,0.0,1,0.0,0,0.015873160285655975,0,0.015873160285655975,0,0.015873160285655975
16.2,1.0,1.1,0.4,0.065,-0.4171138033924681,-0.41703344703155176,1.9266306591570104,3,1,0.0,1,0.0,1,0.0,0,0.012511003410946553,0,0.012511003410946553,0,0.012511003410946553
16.25,1.0,1.1,0.4,0.065,-0.5379359554081911,-0.23912856776911015,1.9344840990380325,3,1,0.0,1,0.0,1,0.0,0,0.007173857033073304,0,0.007173857033073304,0,0.007173857033073304
16.3,1.0,1.1,0.4,0.065,-0.5699522813721695,-0.011846300934417816,1.936565160225691,3,1,0.0,1,0.0,1,0.0,0,0.0003553890280325345,0,0.0003553890280325345,0,0.0003553890280325345
16.35,1.0,1.1,0.4,0.065,-0.5245028543843869,0.22806048087361447,1.936565160225691,3,0,0.006841814426208434,0,0.006841814426208434,0,0.006841814426208434,1,0.0,1,0.0,1,0.0
16.400000000000002,1.0,1.1,0.4,0.065,-0.40842297664758165,0.42660544109990367,1.9441103522785834,3,0,0.012798163232997109,0,0.012798163232997109,0,0.012798163232997109,1,0.0,1,0.0,1,0.0
16.45,1.0,1.1,0.4,0.065,-0.2270338980833342,0.542135264164616,1.9559006423852596,3,0,0.01626405792493848,0,0.01626405792493848,0,0.01626405792493848,1,0.0,1,0.0,1,0.0
16.5,1.0,1.1,0.4,0.065,0.0022058792628922297,0.5693265736649834,1.9708012279127642,3,0,0.017079797209949503,0,0.017079797209949503,0,0.017079797209949503,1,0.0,1,0.0,1,0.0
16.55,1.0,1.1,0.4,0.065,0.24126018965999185,0.5196630511590047,1.9863397580885758,3,0,0.01558989153477014,0,0.01558989153477014,0,0.01558989153477014,1,0.0,1,0.0,1,0.0
16.6,1.0,1.1,0.4,0.065,0.4358044624355486,0.3995885844366725,1.9989851358189867,3,0,0.011987657533100174,0,0.011987657533100174,0,0.011987657533100174,1,0.0,1,0.0,1,0.0
16.650000000000002,1.0,1.1,0.4,0.065,0.5460323290290052,0.21477194944332184,2.0061499471475615,3,0,0.006443158483299655,0,0.006443158483299655,0,0.006443158483299655,1,0.0,1,0.0,1,0.0
16.7,1.0,1.1,0.4,0.065,0.5684444851878668,-0.016297190031269795,2.0061499471475615,3,1,0.0,1,0.0,1,0.0,0,0.0004889157009380938,0,0.0004889157009380938,0,0.0004889157009380938
16.75,1.0,1.1,0.4,0.065,0.5145863973894294,-0.25430559368749783,2.00965072285446,3,1,0.0,1,0.0,1,0.0,0,0.007629167810624934,0,0.007629167810624934,0,0.007629167810624934
16.8,1.0,1.1,0.4,0.065,0.3905319957033333,-0.4447065383114172,2.017714258964056,3,1,0.0,1,0.0,1,0.0,0,0.013341196149342515,0,0.013341196149342515,0,0.013341196149342515
16.85,1.0,1.1,0.4,0.065,0.20234800616767137,-0.5496295695069056,2.0299462182838743,3,1,0.0,1,0.0,1,0.0,0,0.016488887085207165,0,0.016488887085207165,0,0.016488887085207165
16.900000000000002,1.0,1.1,0.4,0.065,-0.030417691768286147,-0.5673080758162611,2.0450759886497116,3,1,0.0,1,0.0,1,0.0,0,0.017019242274487832,0,0.017019242274487832,0,0.017019242274487832
16.95,1.0,1.1,0.4,0.065,-0.2671854097247966,-0.5092733336389089,2.0604658903168844,3,1,0.0,1,0.0,1,0.0,0,0.015278200009167266,0,0.015278200009167266,0,0.015278200009167266
17.0,1.0,1.1,0.4,0.065,-0.4533078873221264,-0.38125510071880425,2.072563851360711,3,1,0.0,1,0.0,1,0.0,0,0.011437653021564128,0,0.011437653021564128,0,0.011437653021564128
17.05,1.0,1.1,0.4,0.065,-0.5529295513475854,-0.1897675992191893,2.0790392595223657,3,1,0.0,1,0.0,1,0.0,0,0.005693027976575679,0,0.005693027976575679,0,0.005693027976575679
17.1,1.0,1.1,0.4,0.065,-0.5659192783356698,0.044557191024583866,2.0790392595223657,3,0,0.001336715730737516,0,0.001336715730737516,0,0.001336715730737516,1,0.0,1,0.0,1,0.0
17.150000000000002,1.0,1.1,0.4,0.065,-0.5037242890952682,0.279888564874982,2.083081933822992,3,0,0.00839665694624946,0,0.00839665694624946,0,0.00839665694624946,1,0.0,1,0.0,1,0.0
17.2,1.0,1.1,0.4,0.065,-0.3717599615605222,0.4616052690701225,2.0916596151127504,3,0,0.013848158072103675,0,0.013848158072103675,0,0.013848158072103675,1,0.0,1,0.0,1,0.0
17.25,1.0,1.1,0.4,0.065,-0.1770365107641474,0.5559349589177416,2.1043166394145145,3,0,0.016678048767532247,0,0.016678048767532247,0,0.016678048767532247,1,0.0,1,0.0,1,0.0
17.3,1.0,1.1,0.4,0.065,0.05870525155184557,0.5642798967070765,2.119639853965054,3,0,0.016928396901212294,0,0.016928396901212294,0,0.016928396901212294,1,0.0,1,0.0,1,0.0
17.35,1.0,1.1,0.4,0.065,0.2924042336102094,0.4979396940559296,2.134830287798848,3,0,0.014938190821677888,0,0.014938190821677888,0,0.014938190821677888,1,0.0,1,0.0,1,0.0
17.400000000000002,1.0,1.1,0.4,0.065,0.469595974155629,0.3620488184360509,2.1463477509343,3,0,0.010861464553081526,0,0.010861464553081526,0,0.010861464553081526,1,0.0,1,0.0,1,0.0
17.45,1.0,1.1,0.4,0.065,0.558648568622368,0.16416077874515533,2.1521361695746384,3,0,0.00492482336235466,0,0.00492482336235466,0,0.00492482336235466,1,0.0,1,0.0,1,0.0
17.5,1.0,1.1,0.4,0.065,0.5623916056988568,-0.0728512074254941,2.1521361695746384,3,1,0.0,1,0.0,1,0.0,0,0.0021855362227648227,0,0.0021855362227648227,0,0.0021855362227648227
17.55,1.0,1.1,0.4,0.065,0.4919199925427401,-0.3047218741346436,2.156716824429786,3,1,0.0,1,0.0,1,0.0,0,0.009141656224039308,0,0.009141656224039308,0,0.009141656224039308
17.6,1.0,1.1,0.4,0.065,0.35212409553139573,-0.4772778110127837,2.1658035577355235,3,1,0.0,1,0.0,1,0.0,0,0.01431833433038351,0,0.01431833433038351,0,0.01431833433038351
